model,pretrained,task_type,benchmark,result_file,timestamp,status
RN50,openai,zeroshot_classification,caltech101,"","",pending
RN50,openai,zeroshot_classification,cars,"","",pending
RN50,openai,zeroshot_classification,cifar10,"","",pending
RN50,openai,zeroshot_classification,cifar100,"","",pending
RN50,openai,zeroshot_classification,country211,"","",pending
RN50,openai,zeroshot_classification,dtd,"","",pending
RN50,openai,zeroshot_classification,eurosat,"","",pending
RN50,openai,zeroshot_classification,fer2013,"","",pending
RN50,openai,zeroshot_classification,fgvc_aircraft,"","",pending
RN50,openai,zeroshot_classification,flowers,"","",pending
RN50,openai,zeroshot_classification,food101,"","",pending
RN50,openai,zeroshot_classification,gtsrb,"","",pending
RN50,openai,zeroshot_classification,imagenet-a,"","",pending
RN50,openai,zeroshot_classification,imagenet-r,"","",pending
RN50,openai,zeroshot_classification,imagenet1k,"","",pending
RN50,openai,zeroshot_classification,imagenet_sketch,"","",pending
RN50,openai,zeroshot_classification,imagenetv2,"","",pending
RN50,openai,zeroshot_classification,mnist,"","",pending
RN50,openai,zeroshot_classification,objectnet,"","",pending
RN50,openai,zeroshot_classification,pcam,"","",pending
RN50,openai,zeroshot_classification,pets,"","",pending
RN50,openai,zeroshot_classification,renderedsst2,"","",pending
RN50,openai,zeroshot_classification,resisc45,"","",pending
RN50,openai,zeroshot_classification,stl10,"","",pending
RN50,openai,zeroshot_classification,sun397,"","",pending
RN50,openai,zeroshot_classification,voc2007,"","",pending
RN50,openai,zeroshot_classification,voc2007_multilabel,"","",pending
RN50,openai,zeroshot_classification,vtab/caltech101,"","",pending
RN50,openai,zeroshot_classification,vtab/cifar10,"","",pending
RN50,openai,zeroshot_classification,vtab/cifar100,"","",pending
RN50,openai,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50,openai,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50,openai,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50,openai,zeroshot_classification,vtab/dmlab,"","",pending
RN50,openai,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50,openai,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50,openai,zeroshot_classification,vtab/dtd,"","",pending
RN50,openai,zeroshot_classification,vtab/eurosat,"","",pending
RN50,openai,zeroshot_classification,vtab/flowers,"","",pending
RN50,openai,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50,openai,zeroshot_classification,vtab/pcam,"","",pending
RN50,openai,zeroshot_classification,vtab/pets,"","",pending
RN50,openai,zeroshot_classification,vtab/resisc45,"","",pending
RN50,openai,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50,openai,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50,openai,zeroshot_classification,vtab/svhn,"","",pending
RN50,openai,zeroshot_retrieval,mscoco_captions,"","",pending
RN50,openai,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50,openai,zeroshot_retrieval,flickr30k,"","",pending
RN50,openai,zeroshot_retrieval,flickr8k,"","",pending
RN50,yfcc15m,zeroshot_classification,caltech101,"","",pending
RN50,yfcc15m,zeroshot_classification,cars,"","",pending
RN50,yfcc15m,zeroshot_classification,cifar10,"","",pending
RN50,yfcc15m,zeroshot_classification,cifar100,"","",pending
RN50,yfcc15m,zeroshot_classification,country211,"","",pending
RN50,yfcc15m,zeroshot_classification,dtd,"","",pending
RN50,yfcc15m,zeroshot_classification,eurosat,"","",pending
RN50,yfcc15m,zeroshot_classification,fer2013,"","",pending
RN50,yfcc15m,zeroshot_classification,fgvc_aircraft,"","",pending
RN50,yfcc15m,zeroshot_classification,flowers,"","",pending
RN50,yfcc15m,zeroshot_classification,food101,"","",pending
RN50,yfcc15m,zeroshot_classification,gtsrb,"","",pending
RN50,yfcc15m,zeroshot_classification,imagenet-a,"","",pending
RN50,yfcc15m,zeroshot_classification,imagenet-r,"","",pending
RN50,yfcc15m,zeroshot_classification,imagenet1k,"","",pending
RN50,yfcc15m,zeroshot_classification,imagenet_sketch,"","",pending
RN50,yfcc15m,zeroshot_classification,imagenetv2,"","",pending
RN50,yfcc15m,zeroshot_classification,mnist,"","",pending
RN50,yfcc15m,zeroshot_classification,objectnet,"","",pending
RN50,yfcc15m,zeroshot_classification,pcam,"","",pending
RN50,yfcc15m,zeroshot_classification,pets,"","",pending
RN50,yfcc15m,zeroshot_classification,renderedsst2,"","",pending
RN50,yfcc15m,zeroshot_classification,resisc45,"","",pending
RN50,yfcc15m,zeroshot_classification,stl10,"","",pending
RN50,yfcc15m,zeroshot_classification,sun397,"","",pending
RN50,yfcc15m,zeroshot_classification,voc2007,"","",pending
RN50,yfcc15m,zeroshot_classification,voc2007_multilabel,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/caltech101,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/cifar10,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/cifar100,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/clevr_closest_object_distance,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/clevr_count_all,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/diabetic_retinopathy,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/dmlab,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/dsprites_label_orientation,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/dsprites_label_x_position,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/dtd,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/eurosat,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/flowers,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/kitti_closest_vehicle_distance,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/pcam,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/pets,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/resisc45,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/smallnorb_label_azimuth,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/smallnorb_label_elevation,"","",pending
RN50,yfcc15m,zeroshot_classification,vtab/svhn,"","",pending
RN50,yfcc15m,zeroshot_retrieval,mscoco_captions,"","",pending
RN50,yfcc15m,zeroshot_retrieval,mscoco_captions2017,"","",pending
RN50,yfcc15m,zeroshot_retrieval,flickr30k,"","",pending
RN50,yfcc15m,zeroshot_retrieval,flickr8k,"","",pending
RN50,cc12m,zeroshot_classification,caltech101,"","",pending
RN50,cc12m,zeroshot_classification,cars,"","",pending
RN50,cc12m,zeroshot_classification,cifar10,"","",pending
RN50,cc12m,zeroshot_classification,cifar100,"","",pending
RN50,cc12m,zeroshot_classification,country211,"","",pending
RN50,cc12m,zeroshot_classification,dtd,"","",pending
RN50,cc12m,zeroshot_classification,eurosat,"","",pending
RN50,cc12m,zeroshot_classification,fer2013,"","",pending
RN50,cc12m,zeroshot_classification,fgvc_aircraft,"","",pending
RN50,cc12m,zeroshot_classification,flowers,"","",pending
